trade_id,timestamp_entry,direction,session,entry_price,sl,tp1,tp2,lot_leg1,lot_leg2,lot_runner,iceberg_aligned,gate_score,gate_reason,gate_v4_status,leg1_result,leg1_exit_price,leg1_exit_time,leg2_result,leg2_exit_price,leg2_exit_time,leg3_result,leg3_exit_price,leg3_exit_time,total_pnl_usd,shield_activated,duration_minutes,mae_pts,mfe_pts
41,2026-04-02T01:08:00+00:00,SHORT,Asian,4763.95,4783.95,4743.95,4713.95,0.02,0.02,0.01,True,7,iceberg absorption sc=+7,UNKNOWN,SL_HIT,4786.95,2026-04-02T01:11:00+00:00,SL_HIT,4786.95,2026-04-02T01:11:00+00:00,SL_HIT,4786.95,2026-04-02T01:11:00+00:00,-11.5,False,3.0,27.600000000000364,0.0
42,2026-04-02T01:22:00+00:00,LONG,Asian,4742.45,4722.45,4762.45,4792.45,0.02,0.02,0.01,True,2,iceberg sweep sc=+2,UNKNOWN,SL_HIT,4719.45,2026-04-02T01:26:00+00:00,SL_HIT,4719.45,2026-04-02T01:26:00+00:00,SL_HIT,4719.45,2026-04-02T01:26:00+00:00,-11.5,False,4.0,26.199999999999818,9.199999999999818
43,2026-04-02T10:20:00+00:00,LONG,London,4640.75,4620.75,4660.75,4690.75,0.02,0.02,0.01,False,0,sinais neutros -- nivel estrutural valido,UNKNOWN,SL_HIT,4617.75,2026-04-02T11:43:00+00:00,SL_HIT,4617.75,2026-04-02T11:43:00+00:00,SL_HIT,4617.75,2026-04-02T11:43:00+00:00,-11.5,False,83.0,21.700000000000728,16.149999999999636
44,2026-04-02T10:34:00+00:00,LONG,London,4640.75,4620.75,4660.75,4690.75,0.03,0.03,0.01,True,1,iceberg large_order sc=+1,UNKNOWN,SL_HIT,4617.75,2026-04-02T11:43:00+00:00,SL_HIT,4617.75,2026-04-02T11:43:00+00:00,SL_HIT,4617.75,2026-04-02T11:43:00+00:00,-16.1,False,69.0,21.700000000000728,16.149999999999636
45,2026-04-02T10:39:00+00:00,LONG,London,4640.75,4620.75,4660.75,4690.75,0.03,0.03,0.01,True,7,iceberg large_order sc=+7,UNKNOWN,SL_HIT,4617.75,2026-04-02T11:43:00+00:00,SL_HIT,4617.75,2026-04-02T11:43:00+00:00,SL_HIT,4617.75,2026-04-02T11:43:00+00:00,-16.1,False,64.0,21.700000000000728,16.149999999999636
46,2026-04-02T11:34:00+00:00,LONG,London,4640.75,4620.75,4660.75,4690.75,0.03,0.03,0.01,True,3,iceberg large_order sc=+3,UNKNOWN,SL_HIT,4617.75,2026-04-02T11:43:00+00:00,SL_HIT,4617.75,2026-04-02T11:43:00+00:00,SL_HIT,4617.75,2026-04-02T11:43:00+00:00,-16.1,False,9.0,21.700000000000728,2.399999999999636
47,2026-04-02T12:14:00+00:00,LONG,London,4640.75,4620.75,4660.75,4690.75,0.03,0.03,0.01,True,2,iceberg sweep sc=+2,UNKNOWN,SL_HIT,4617.75,2026-04-02T13:00:00+00:00,SL_HIT,4617.75,2026-04-02T13:00:00+00:00,SL_HIT,4617.75,2026-04-02T13:00:00+00:00,-16.1,False,46.0,33.149999999999636,15.200000000000728
48,2026-04-02T12:15:00+00:00,LONG,London,4640.75,4620.75,4660.75,4690.75,0.03,0.03,0.01,True,6,iceberg absorption sc=+6,UNKNOWN,SL_HIT,4617.75,2026-04-02T13:00:00+00:00,SL_HIT,4617.75,2026-04-02T13:00:00+00:00,SL_HIT,4617.75,2026-04-02T13:00:00+00:00,-16.1,False,45.0,33.149999999999636,15.200000000000728
49,2026-04-02T12:47:00+00:00,LONG,London,4640.75,4620.75,4660.75,4690.75,0.03,0.03,0.01,True,2,iceberg sweep sc=+2,UNKNOWN,SL_HIT,4617.75,2026-04-02T13:00:00+00:00,SL_HIT,4617.75,2026-04-02T13:00:00+00:00,SL_HIT,4617.75,2026-04-02T13:00:00+00:00,-16.1,False,13.0,33.149999999999636,12.0
50,2026-04-02T13:57:00+00:00,LONG,London,4640.75,4620.75,4660.75,4690.75,0.03,0.03,0.01,True,3,iceberg absorption sc=+5,UNKNOWN,TP1_HIT,4660.75,2026-04-02T14:32:00+00:00,TP2_HIT,4690.75,2026-04-02T17:23:00+00:00,WINDOW_END,4676.8,2026-04-02T17:57:00+00:00,24.61,True,240.0,0.4499999999998181,52.0
