event_type,minute_offset,n_events,mean_cum_ret_bps,mean_abs_cum_ret_bps,std_cum_ret_bps,p90_abs
FOMC,50,24,-20.430015609647956,28.80272654124674,36.17640584692515,78.58123200301436
FOMC,51,24,-20.292934033544533,29.973713518951183,37.881209671332925,82.98107413719545
FOMC,52,24,-21.87397196013597,30.10175033353828,39.000895912621694,86.15650851397847
FOMC,53,24,-22.75361289710898,30.709754545482085,38.360226840951334,84.4055374832384
FOMC,54,24,-22.434258548753675,30.513791859576127,37.326551353891766,84.3527008721193
FOMC,55,24,-20.758867429921438,28.8348684066235,33.73727727753866,74.3249315805231
FOMC,56,24,-22.59441801806437,31.593710181419638,37.83690940472466,85.61391988553035
FOMC,57,24,-20.730613516775954,29.479310382876978,35.35787604592689,78.9402261582811
FOMC,58,24,-22.613364734183445,28.07869362864035,33.651157868670694,77.35278340656926
FOMC,59,24,-23.12364021377462,28.34550107104275,34.178695806035215,78.37508716099883
FOMC,60,24,-18.84873093921093,33.38699018517475,41.70012340617362,86.38351674034716
GDP,0,6,0.0,0.0,0.0,0.0
GDP,1,6,-2.3751627928460715,3.6235357611212144,4.771983968922057,8.336094273612705
GDP,2,6,1.0835354146593312,5.409741048412371,9.667016686563462,14.916332516964337
GDP,3,6,3.1983982708751655,6.647610901279003,11.18355035589447,15.682587646497769
GDP,4,6,1.4625562936545118,6.596035413840759,11.036474551086137,15.527031375284217
GDP,5,6,1.0791325525274142,7.955660136747903,12.616299298404961,17.805076316846915
GDP,6,6,-0.8406529546371253,10.970568719004627,16.402212199904803,24.165300207275585
GDP,7,6,-1.98664203120924,11.622385826595695,17.30438344559175,26.629300028139788
GDP,8,6,-0.4036697531066095,10.673509723942987,14.818115088533439,20.672286709765288
GDP,9,6,-0.16776517499076724,9.535191288193394,13.367099749990004,19.0321744751315
GDP,10,6,0.6562280245949363,9.569812763966327,14.896815739848758,22.65757868410934
GDP,11,6,0.27473682014778095,8.382831596521571,11.530400083663022,16.663060280918685
GDP,12,6,1.06640595709658,9.022714696106936,13.619567239464107,19.563443414014614
GDP,13,6,-0.1998117006879466,10.84174441972637,15.514129091292789,22.708433683460427
GDP,14,6,0.4406939833119979,10.877951362920172,16.041812555549534,22.11523462137377
GDP,15,6,-1.3723786913662679,11.328919067211674,14.898413104586782,20.820870824121982
GDP,16,6,-1.6666067217855722,11.799526557264942,16.189445183735817,23.932905590119404
GDP,17,6,-4.543474527961741,14.344943670045831,18.163875912428896,27.142669471121316
GDP,18,6,-5.66860658175757,15.923452581657985,19.11402905226587,26.563957718911958
GDP,19,6,-6.125414615312056,16.369606502276884,19.22629925636862,26.480715913783094
GDP,20,6,-9.288582684151558,19.404534151758654,22.25184192598501,31.87415324006293
GDP,21,6,-8.556450446862707,19.812353846011174,22.9904632331397,32.62899524973717
GDP,22,6,-10.229805316412934,21.50701694143331,24.694357136851465,35.84427710944416
GDP,23,6,-11.454743873667107,22.636860148668536,24.80360584169373,37.018714629283295
GDP,24,6,-12.290725215981327,21.98960202257849,24.909278765344222,38.80866148029128
GDP,25,6,-10.084385658215936,20.114713158208378,23.765648208146022,35.01180193846209
GDP,26,6,-9.891056280226424,20.389754608971153,24.158680830634548,36.04818747163174
GDP,27,6,-12.04697015298406,21.771495043452774,24.93925888375004,36.88186051325426
GDP,28,6,-10.430002562287024,22.754836832171165,25.864182311987953,37.45564868593787
