timestamp,open,high,low,close,volume,trend_a,trend_b,trend_a_dir,trend_b_dir,logic_c_score,entry_dir,pnl_60m,F1_B,F2_B,F3_B,F5_A,F5_B,arm
2026-02-24 09:00:00+00:00,5192.3,5199.4,5187.0,5187.1,1558.0,False,True,0,-1,0.756,1,7.599999999999454,True,False,True,False,False,A_old_040
2026-02-24 17:30:00+00:00,5177.0,5182.3,5174.9,5182.0,1576.0,True,True,1,1,0.543,-1,3.100000000000364,False,False,True,False,False,A_old_040
2026-02-24 18:30:00+00:00,5176.6,5181.4,5171.3,5178.9,1737.0,False,True,0,-1,1.183,1,-7.099999999999454,False,False,True,False,True,A_old_040
2026-02-24 20:00:00+00:00,5172.1,5188.2,5164.2,5186.5,1812.0,True,True,1,1,0.543,-1,12.899999999999636,False,False,True,False,False,A_old_040
2026-02-25 06:30:00+00:00,5208.2,5213.9,5207.3,5213.2,645.0,False,True,0,-1,1.183,1,-9.399999999999636,False,False,True,False,True,A_old_040
2026-02-25 11:30:00+00:00,5187.3,5200.8,5185.0,5199.5,1995.0,False,True,0,1,0.543,-1,-1.5,False,False,True,False,False,A_old_040
2026-02-25 12:00:00+00:00,5199.3,5205.2,5196.2,5201.5,2077.0,True,True,1,1,0.487,-1,-4.800000000000182,True,True,False,False,False,A_old_040
2026-02-26 11:00:00+00:00,5186.8,5194.3,5184.8,5187.9,2053.0,False,True,0,-1,0.8170000000000001,1,6.800000000000182,False,True,True,False,False,A_old_040
2026-02-26 19:30:00+00:00,5203.0,5211.3,5200.2,5204.2,2147.0,True,True,1,1,0.8170000000000001,-1,-9.5,False,True,True,False,False,A_old_040
2026-02-27 10:30:00+00:00,5189.6,5195.6,5184.6,5193.6,2094.0,False,True,0,1,0.543,-1,-8.399999999999636,False,False,True,False,False,A_old_040
2026-03-02 14:30:00+00:00,5347.9,5370.1,5318.6,5345.6,14387.0,True,True,-1,-1,0.8170000000000001,1,-15.900000000000546,False,True,True,False,False,A_old_040
2026-03-02 19:30:00+00:00,5345.1,5348.5,5336.6,5344.2,1805.0,False,True,0,1,0.756,-1,-2.5,True,False,True,False,False,A_old_040
2026-03-02 20:00:00+00:00,5344.1,5360.9,5342.2,5347.7,3658.0,False,True,0,1,0.914,-1,1.0,False,True,False,False,True,A_old_040
2026-03-03 02:00:00+00:00,5353.7,5373.6,5346.7,5372.9,2557.0,False,True,0,-1,0.64,1,7.600000000000364,False,False,False,False,True,A_old_040
