date,source,file_path,file_size_MB,row_count,first_ts_UTC,last_ts_UTC,coverage_hours,front_symbol
2025-09-03,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250903.mbp-10.csv.zst,114.35,141580,2025-09-03T00:00:00.187407352+00:00,2025-09-03T23:59:51.268468391+00:00,24.0,GCZ5
2025-09-04,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250904.mbp-10.csv.zst,113.42,136147,2025-09-04T00:00:00.142516705+00:00,2025-09-04T23:59:57.686618728+00:00,24.0,GCZ5
2025-09-05,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250905.mbp-10.csv.zst,125.04,143131,2025-09-05T00:00:00.770623989+00:00,2025-09-05T20:59:59.293416497+00:00,21.0,GCZ5
2025-09-07,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250907.mbp-10.csv.zst,6.71,14452,2025-09-07T22:00:00.290436464+00:00,2025-09-07T23:59:51.994314599+00:00,2.0,GCZ5
2025-09-08,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250908.mbp-10.csv.zst,107.67,132966,2025-09-08T00:00:00.135832139+00:00,2025-09-08T23:59:52.637334975+00:00,24.0,GCZ5
2025-09-09,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250909.mbp-10.csv.zst,134.65,165726,2025-09-09T00:00:00.138725017+00:00,2025-09-09T23:59:55.145616732+00:00,24.0,GCZ5
2025-09-10,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250910.mbp-10.csv.zst,94.14,110265,2025-09-10T00:00:00.006000134+00:00,2025-09-10T23:59:59.385514334+00:00,24.0,GCZ5
2025-09-11,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250911.mbp-10.csv.zst,113.9,131097,2025-09-11T00:00:00.984377741+00:00,2025-09-11T23:59:57.806646887+00:00,24.0,GCZ5
2025-09-12,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250912.mbp-10.csv.zst,77.75,93504,2025-09-12T00:00:00.101179045+00:00,2025-09-12T20:59:57.220492697+00:00,21.0,GCZ5
2025-09-14,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250914.mbp-10.csv.zst,1.99,3356,2025-09-14T22:00:00.159654054+00:00,2025-09-14T23:59:57.222031272+00:00,2.0,GCZ5
2025-09-15,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250915.mbp-10.csv.zst,85.23,112663,2025-09-15T00:00:00.371970011+00:00,2025-09-15T23:59:58.928104004+00:00,24.0,GCZ5
2025-09-16,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250916.mbp-10.csv.zst,91.81,114871,2025-09-16T00:00:00.050063178+00:00,2025-09-16T23:59:55.267717087+00:00,24.0,GCZ5
2025-09-17,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250917.mbp-10.csv.zst,131.26,163109,2025-09-17T00:00:00.153128488+00:00,2025-09-17T23:59:53.827308289+00:00,24.0,GCZ5
