bars_dh_gt_5,date,day_dH_m30,day_dL_m30,m30_bars,max_dh_m30,max_dl_m30,mean_dh_m30,pq_H_m30,raw_H_m30,status
3,2026-03-24,1.7999999999992724,-0.8999999999996362,46,8.949999999999818,5.5,1.133695652173925,4553.200000000001,4555.0,OK
0,2026-03-25,0.2999999999992724,-0.5500000000001819,5,0.5,1.1500000000005457,0.3099999999998545,4599.700000000001,4600.0,OK
1,2026-03-27,-1.3500000000003638,2.300000000000182,8,8.400000000000546,12.699999999999818,2.900000000000091,4527.35,4526.0,OK
,2026-03-29,,,,,,,,,PQ_EMPTY_M30
0,2026-03-30,1.2999999999992724,-3.100000000000364,46,2.149999999999636,3.100000000000364,0.4858695652172608,4610.1,4611.4,OK
1,2026-03-31,0.6500000000005457,-1.25,46,7.0,8.199999999999818,0.8304347826087313,4728.15,4728.8,OK
1,2026-04-01,5.099999999999454,-0.25,43,10.100000000000364,5.199999999999818,0.6104651162789851,4820.8,4825.9,OK
7,2026-04-02,0.049999999999272404,-0.4500000000007276,42,35.849999999999454,27.299999999999272,4.258333333333212,4823.85,4823.9,OK
1,2026-04-05,1.25,-27.100000000000364,1,6.850000000000364,19.200000000000728,6.850000000000364,4698.05,4699.3,OK
2,2026-04-06,0.3500000000003638,-0.5,43,6.25,3.5,0.6174418604651628,4732.75,4733.1,OK
1,2026-04-07,89.94999999999982,-9.75,43,5.75,22.600000000000364,0.7662790697673318,4773.55,4863.5,OK
7,2026-04-08,2.649999999999636,-3.949999999999818,43,15.900000000000546,29.849999999999454,2.3500000000000676,4885.35,4888.0,OK
2,2026-04-09,7.300000000000182,-2.9499999999989086,30,7.300000000000182,15.849999999999454,0.8433333333333697,4795.5,4802.8,OK
0,2026-04-10,0.1999999999998181,-1.050000000000182,23,0.7999999999992724,1.4000000000005457,0.3043478260867588,4819.3,4819.5,OK
1,2026-04-12,-6.5,-6.5,4,6.5,6.5,1.949999999999818,4721.5,4715.0,OK
0,2026-04-13,0.1999999999998181,0.0999999999994543,46,2.5499999999992724,1.5,0.33369565217392094,4789.5,4789.7,OK
1,2026-04-14,0.5500000000010914,-2.2499999999990905,46,10.5,3.2000000000007276,0.8478260869565217,4874.049999999999,4874.6,OK
0,2026-04-15,0.25,-1.1499999999996362,47,1.75,1.550000000000182,0.37765957446806575,4895.15,4895.4,OK
0,2026-04-16,0.3499999999994543,-3.25,46,1.300000000000182,3.25,0.31413043478266406,4860.950000000001,4861.3,OK
5,2026-04-17,6.0,-2.100000000000364,43,11.0,6.300000000000182,1.2767441860465243,4911.7,4917.7,OK
0,2026-04-19,-44.100000000000364,-5.049999999999272,4,0.2999999999992724,5.649999999999636,0.17499999999995453,4859.1,4815.0,OK
0,2026-04-20,1.1500000000005457,-1.300000000000182,47,4.649999999999636,2.850000000000364,0.4617021276594738,4853.65,4854.8,OK
0,2026-04-21,0.0999999999994543,-1.2999999999992724,38,3.350000000000364,12.399999999999636,0.5671052631578756,4851.1,4851.2,OK
0,2026-04-22,0.9499999999998181,-0.2999999999992724,46,1.800000000000182,1.550000000000182,0.4173913043477826,4789.85,4790.8,OK
4,2026-04-23,1.199999999999818,-0.1999999999989086,46,8.0,15.400000000000546,1.768478260869494,4770.1,4771.3,OK
2,2026-04-24,1.050000000000182,-0.6000000000003638,29,14.599999999999454,8.5,1.5206896551724578,4754.65,4755.7,OK
