timestamp,asset,direction,decision,lots,entry,sl,tp1,tp2,result,pnl,gate_score,leg1_ticket,leg2_ticket,leg3_ticket
2026-04-07T15:33:31.098957+00:00,AX1,SHORT,CONFIRMED,0.05,4649.17,4673.48,4633.48,4603.48,open,0.0,2,1743994915,1743994921,1743994929
2026-04-07T15:33:59.274491+00:00,AX1,SHORT,CONFIRMED,0.05,4648.34,4668.93,4628.93,4598.93,open,0.0,2,1743996838,1743996860,1743996894
2026-04-07T16:11:20.468483+00:00,AX1,SHORT,CONFIRMED,0.05,4656.09,4673.6,4633.6,4603.6,open,0.0,4,1744231699,1744231715,1744231726
2026-04-07T16:11:28.861455+00:00,AX1,SHORT,CONFIRMED,0.05,4656.92,4673.6,4633.6,4603.6,open,0.0,4,1744232121,1744232131,1744232145
2026-04-07T16:11:34.493368+00:00,AX1,SHORT,CONFIRMED,0.05,4657.3,4673.6,4633.6,4603.6,open,0.0,4,1744232507,1744232685,1744232894
2026-04-07T16:11:58.551411+00:00,AX1,SHORT,CONFIRMED,0.05,4658.77,4673.6,4633.6,4603.6,open,0.0,4,1744235782,1744235799,1744235952
2026-04-07T16:12:41.265667+00:00,AX1,SHORT,CONFIRMED,0.05,4660.35,4677.15,4637.15,4607.15,open,0.0,4,1744241691,1744241707,1744241736
2026-04-07T16:12:50.346735+00:00,AX1,SHORT,CONFIRMED,0.05,4658.58,4677.15,4637.15,4607.15,open,0.0,4,1744242396,1744242425,1744242440
2026-04-07T16:12:55.491446+00:00,AX1,SHORT,CONFIRMED,0.05,4658.44,4677.15,4637.15,4607.15,open,0.0,4,1744242604,1744242608,1744242615
2026-04-07T17:20:02.355185+00:00,AX1,SHORT,CONFIRMED,0.05,4656.61,4676.51,4636.51,4606.51,open,0.0,3,1744565265,1744565281,1744565291
2026-04-07T17:36:09.151234+00:00,AX1,SHORT,CONFIRMED,0.05,4675.7,4696.28,4656.28,4626.28,open,0.0,4,1744659090,1744659114,1744659133
2026-04-07T17:45:18.299507+00:00,AX1,SHORT,CONFIRMED,0.05,4672.89,4692.07,4652.07,4622.07,open,0.0,2,1744730619,1744730626,1744730636
