decision_id,entry_ts,direction,entry_mode,entry_price,sl,tp1,tp2,atr_m30,score,score_detail,exit_ts,exit_reason,exit_price,pnl_usd,duration_min,mfe_pts,mae_pts
fa5cef51,2026-05-07 18:15:03.302231+00:00,SHORT,,4690.8,4710.8,4670.8,4640.8,17.3,1,production_score,2026-05-07 18:16:00+00:00,SL_HIT,4710.8,-120.0,0,0.0,28.199999999999818
6418d18b,2026-05-07 18:18:06.444816+00:00,SHORT,,4690.65,4710.65,4670.65,4640.65,17.3,1,production_score,2026-05-07 18:19:00+00:00,SL_HIT,4710.65,-120.0,0,0.0,28.450000000000728
22077213,2026-05-07 18:19:03.649165+00:00,SHORT,,4690.25,4710.25,4670.25,4640.25,17.3,1,production_score,2026-05-07 18:20:00+00:00,SL_HIT,4710.25,-120.0,0,0.0,29.75
ffb32b27,2026-05-07 18:21:11.287924+00:00,SHORT,,4691.1,4711.1,4671.1,4641.1,17.3,1,production_score,2026-05-07 18:22:00+00:00,SL_HIT,4711.1,-120.0,0,0.0,28.099999999999454
e6edb784,2026-05-07 18:24:13.457144+00:00,SHORT,,4691.1,4711.1,4671.1,4641.1,17.3,1,production_score,2026-05-07 18:25:00+00:00,SL_HIT,4711.1,-120.0,0,0.0,25.399999999999636
47c006a3,2026-05-07 18:25:00.383014+00:00,SHORT,,4691.3,4711.3,4671.3,4641.3,17.3,1,production_score,2026-05-07 18:26:00+00:00,SL_HIT,4711.3,-120.0,0,0.0,25.399999999999636
46bf2daa,2026-05-07 18:27:36.060319+00:00,SHORT,,4690.25,4710.25,4670.25,4640.25,17.3,1,production_score,2026-05-07 18:28:00+00:00,SL_HIT,4710.25,-120.0,0,0.0,28.350000000000364
de52940f,2026-05-07 18:28:03.399319+00:00,SHORT,,4690.7,4710.7,4670.7,4640.7,17.3,1,production_score,2026-05-07 18:29:00+00:00,SL_HIT,4710.7,-120.0,0,0.0,31.5
d4126178,2026-05-07 18:31:53.380633+00:00,SHORT,,4693.05,4713.05,4673.05,4643.05,17.3,1,production_score,2026-05-07 18:32:00+00:00,SL_HIT,4713.05,-120.0,0,0.0,30.25
3a1ad1a5,2026-05-07 18:32:06.089917+00:00,SHORT,,4693.05,4713.05,4673.05,4643.05,17.3,1,production_score,2026-05-07 18:33:00+00:00,SL_HIT,4713.05,-120.0,0,0.0,31.949999999999818
fdb58906,2026-05-07 18:33:00.346825+00:00,SHORT,,4693.05,4713.05,4673.05,4643.05,17.3,1,production_score,2026-05-07 18:34:00+00:00,SL_HIT,4713.05,-120.0,0,0.0,31.649999999999636
b38a2600,2026-05-07 18:36:04.383812+00:00,SHORT,,4693.7,4713.7,4673.7,4643.7,17.3,1,production_score,2026-05-07 18:37:00+00:00,SL_HIT,4713.7,-120.0,0,0.0,31.699999999999818
5c4f3b8a,2026-05-07 18:37:00.350228+00:00,SHORT,,4693.7,4713.7,4673.7,4643.7,17.3,1,production_score,2026-05-07 18:38:00+00:00,SL_HIT,4713.7,-120.0,0,0.0,26.800000000000182
43e0f7f4,2026-05-07 18:39:53.019381+00:00,SHORT,PULLBACK,4691.3,4711.3,4671.3,4641.3,17.3,1,production_score,2026-05-07 18:40:00+00:00,SL_HIT,4711.3,-120.0,0,0.0,31.300000000000182
0b841e26,2026-05-07 18:40:01.977035+00:00,SHORT,,4692.3,4712.3,4672.3,4642.3,17.3,1,production_score,2026-05-07 18:41:00+00:00,SL_HIT,4712.3,-120.0,0,0.0,29.099999999999454
5da34732,2026-05-07 18:41:01.871999+00:00,SHORT,,4691.75,4711.75,4671.75,4641.75,17.3,1,production_score,2026-05-07 18:42:00+00:00,SL_HIT,4711.75,-120.0,0,0.0,31.149999999999636
e5bf4b7d,2026-05-07 18:44:02.358881+00:00,SHORT,,4691.95,4711.95,4671.95,4641.95,17.3,1,production_score,2026-05-07 18:45:00+00:00,SL_HIT,4711.95,-120.0,0,0.0,24.150000000000546
63584643,2026-05-07 18:45:00.772326+00:00,SHORT,PULLBACK,4693.9,4713.9,4673.9,4643.9,17.3,1,production_score,2026-05-07 18:46:00+00:00,SL_HIT,4713.9,-120.0,0,0.0,24.900000000000546
75867381,2026-05-07 18:48:02.271918+00:00,SHORT,PULLBACK,4690.1,4710.1,4670.1,4640.1,15.75,1,production_score,2026-05-07 18:49:00+00:00,SL_HIT,4710.1,-120.0,0,0.0,23.5
4a82139d,2026-05-07 18:49:02.402813+00:00,SHORT,PULLBACK,4690.4,4710.4,4670.4,4640.4,14.65,1,production_score,2026-05-07 18:52:00+00:00,SL_HIT,4710.4,-120.0,2,0.0,23.0
ff7426ba,2026-05-07 18:53:34.268958+00:00,SHORT,,4687.8,4707.8,4667.8,4637.8,14.65,1,production_score,2026-05-07 18:54:00+00:00,SL_HIT,4707.8,-120.0,0,0.0,26.199999999999818
bcc9f845,2026-05-07 18:54:04.377572+00:00,SHORT,,4688.2,4708.2,4668.2,4638.2,13.7,1,production_score,2026-05-07 18:55:00+00:00,SL_HIT,4708.2,-120.0,0,0.0,27.400000000000546
99972c56,2026-05-07 18:58:23.601018+00:00,SHORT,,4689.7,4709.7,4669.7,4639.7,10.65,1,production_score,2026-05-07 18:59:00+00:00,SL_HIT,4709.7,-120.0,0,0.0,31.0
1f6685c4,2026-05-07 18:59:02.612396+00:00,SHORT,,4690.4,4710.4,4670.4,4640.4,10.65,1,production_score,2026-05-07 19:00:00+00:00,SL_HIT,4710.4,-120.0,0,0.0,30.0
4f48f4d5,2026-05-07 19:02:59.298882+00:00,SHORT,,4691.9,4711.9,4671.9,4641.9,10.35,1,production_score,2026-05-07 19:03:00+00:00,SL_HIT,4711.9,-120.0,0,0.0,23.700000000000728
74b85e1f,2026-05-07 19:03:06.095565+00:00,SHORT,,4691.6,4711.6,4671.6,4641.6,6.53,1,production_score,2026-05-07 19:04:00+00:00,SL_HIT,4711.6,-120.0,0,0.0,24.299999999999272
47504bec,2026-05-07 19:04:03.682817+00:00,SHORT,,4691.0,4711.0,4671.0,4641.0,10.35,1,production_score,2026-05-07 19:05:00+00:00,SL_HIT,4711.0,-120.0,0,0.0,25.699999999999818
6ad72a6e,2026-05-07 19:07:02.123496+00:00,SHORT,,4689.85,4709.85,4669.85,4639.85,6.69,1,production_score,2026-05-07 19:08:00+00:00,SL_HIT,4709.85,-120.0,0,0.0,30.149999999999636
31b6660b,2026-05-07 19:08:00.914474+00:00,SHORT,PULLBACK,4690.0,4710.0,4670.0,4640.0,10.1,1,production_score,2026-05-07 19:09:00+00:00,SL_HIT,4710.0,-120.0,0,0.0,29.100000000000364
2fbb66f5,2026-05-07 19:11:10.119920+00:00,SHORT,,4691.1,4711.1,4671.1,4641.1,10.1,1,production_score,2026-05-07 19:12:00+00:00,SL_HIT,4711.1,-120.0,0,0.0,28.399999999999636
42cec754,2026-05-07 19:12:01.961505+00:00,SHORT,,4691.3,4711.3,4671.3,4641.3,6.51,1,production_score,2026-05-07 19:13:00+00:00,SL_HIT,4711.3,-120.0,0,0.0,28.199999999999818
6b753251,2026-05-07 19:15:48.316803+00:00,SHORT,,4691.9,4711.9,4671.9,4641.9,10.1,1,production_score,2026-05-07 19:16:00+00:00,SL_HIT,4711.9,-120.0,0,0.0,28.300000000000182
d5aebf55,2026-05-07 19:16:00.358006+00:00,SHORT,PULLBACK,4691.9,4711.9,4671.9,4641.9,10.1,1,production_score,2026-05-07 19:17:00+00:00,SL_HIT,4711.9,-120.0,0,0.0,27.800000000000182
9e2ef051,2026-05-07 19:17:01.362796+00:00,SHORT,,4692.2,4712.2,4672.2,4642.2,10.1,1,production_score,2026-05-07 19:18:00+00:00,SL_HIT,4712.2,-120.0,0,0.0,22.699999999999818
59993d4a,2026-05-07 19:20:36.669326+00:00,SHORT,,4688.6,4708.6,4668.6,4638.6,5.97,1,production_score,2026-05-07 19:21:00+00:00,SL_HIT,4708.6,-120.0,0,0.0,24.399999999999636
edd1e29a,2026-05-07 19:21:00.243865+00:00,SHORT,,4688.6,4708.6,4668.6,4638.6,10.1,1,production_score,2026-05-07 19:22:00+00:00,SL_HIT,4708.6,-120.0,0,0.0,26.399999999999636
6db007d2,2026-05-07 19:24:22.692555+00:00,SHORT,,4689.0,4709.0,4669.0,4639.0,10.1,1,production_score,2026-05-07 19:25:00+00:00,SL_HIT,4709.0,-120.0,0,0.0,20.699999999999818
1292babf,2026-05-07 19:25:02.299729+00:00,SHORT,PULLBACK,4688.35,4708.35,4668.35,4638.35,10.1,1,production_score,2026-05-07 19:26:00+00:00,SL_HIT,4708.35,-120.0,0,0.0,21.049999999999272
89fd96b5,2026-05-07 19:29:14.111864+00:00,SHORT,,4688.45,4708.45,4668.45,4638.45,10.1,1,production_score,2026-05-07 19:30:00+00:00,SL_HIT,4708.45,-120.0,0,0.0,26.550000000000182
6b9d23bb,2026-05-07 19:30:01.623604+00:00,SHORT,,4687.9,4707.9,4667.9,4637.9,10.1,1,production_score,2026-05-07 19:31:00+00:00,SL_HIT,4707.9,-120.0,0,0.0,28.100000000000364
