min_bars,window,strategy,n_total,n_blocked,block_rate,n_survive_scored,acc_mean_boot,acc_ci_lo,acc_ci_hi,block_mean_boot,block_ci_lo,block_ci_hi
7,2,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
7,3,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
7,4,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
7,5,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
7,6,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
7,7,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
7,8,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
8,2,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
8,3,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
8,4,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
8,5,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
8,6,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
8,7,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
8,8,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
3,4,majority,37234,1800,0.048342912391899875,35434,0.4816555765292625,0.4767407362620762,0.48673237795906565,0.04832642208733953,0.046139952731374556,0.050410914755331146
4,4,majority,37234,1753,0.04708062523500027,35481,0.48110247842210047,0.4761876244246412,0.4862028005091267,0.047069103507546874,0.044851479830262664,0.04914862759843154
3,5,recency_weighted,37234,16114,0.43277649460170814,21120,0.48049596477983053,0.4743344603601845,0.4870207140180248,0.43281143578449804,0.4279683891067304,0.43782631465864535
2,3,majority,37234,7563,0.20312080356663265,29671,0.4796297579204012,0.47410334272958643,0.4852559372100968,0.20312233442552505,0.1990646989310845,0.20722995111994413
4,5,majority,37234,2675,0.07184293924907342,34559,0.47926050195178754,0.4740412485938456,0.4843786150073901,0.07186211527098887,0.06923779341462105,0.07431379921577053
3,5,majority,37234,5754,0.15453617661277327,31480,0.4758967947838804,0.47037448968877693,0.48128853699526253,0.15451960573669227,0.1508815867218134,0.1582431379921577
2,4,majority,37234,2380,0.06392007305151205,34854,0.47504444517749667,0.46998341387314435,0.48049636167883014,0.06389120158994469,0.061555298920341624,0.0661767470591395
3,7,majority,37234,3079,0.08269323736369985,34155,0.474237847838458,0.46924807479001773,0.47939680207956453,0.0826845356394693,0.07984570553794919,0.085299054627491
2,6,majority,37234,2623,0.07044636622441854,34611,0.47369673281898794,0.4686139795135161,0.47883967946535616,0.0704006284578611,0.06794864908417038,0.07305151205887092
2,5,majority,37234,6161,0.16546704624805286,31073,0.47099289168909625,0.46545747496290524,0.4764617117043012,0.16545689423645055,0.16170637052156633,0.1692814363216415
2,6,recency_weighted,37234,18338,0.49250684857925553,18896,0.4693868153204805,0.4627037945689749,0.47642168127320456,0.492519202879089,0.48761884299296343,0.4974230541977762
2,7,majority,37234,4112,0.11043669764194017,33122,0.4610711303077318,0.45580661627240565,0.46635158578225505,0.11040879303862061,0.10729440833646667,0.11339165816189505
